Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1953,AL,76,76,5,4.52,152,5859,5149,687,1354,230,53,69,644,65,36,596,604,.263,.343,.368,.711,120,173,.979,28.6
1952,AL,78,76,5,3.81,157,6049,5357,598,1282,225,44,50,555,48,37,580,607,.239,.317,.326,.643,132,152,.978,28.5
1951,AL,62,92,7,4.36,154,5980,5329,672,1399,242,45,54,627,45,38,560,515,.263,.336,.355,.691,160,148,.973,28.7
1950,AL,67,87,5,4.45,155,6029,5251,690,1365,190,53,76,659,42,25,671,606,.260,.347,.360,.707,167,181,.972,28.5
1949,AL,50,104,8,3.79,154,5911,5234,584,1330,207,41,81,546,46,33,593,495,.254,.333,.356,.688,161,168,.973,28.6
1948,AL,56,97,7,3.75,154,5783,5111,578,1245,203,75,31,537,76,48,568,572,.244,.322,.331,.652,154,144,.974,28.5
1947,AL,64,90,7,3.22,154,5717,5112,496,1234,186,48,42,459,53,51,525,534,.241,.313,.321,.634,143,151,.976,29.4
1946,AL,76,78,4,3.92,155,5958,5337,608,1388,260,63,60,554,51,50,511,641,.260,.327,.366,.694,211,162,.966,29.6
1945,AL,87,67,2,3.99,156,6008,5326,622,1375,197,63,27,569,110,65,545,489,.258,.330,.334,.664,183,124,.970,31.3
1944,AL,64,90,8,3.84,154,5927,5319,592,1386,186,42,33,530,127,59,470,477,.261,.324,.330,.654,218,156,.964,30.4
1943,AL,84,69,2,4.35,153,5965,5233,666,1328,245,50,47,619,142,55,605,579,.254,.336,.347,.682,179,145,.971,27.6
1942,AL,62,89,7,4.32,151,5949,5295,653,1364,224,49,40,593,98,29,581,536,.258,.333,.341,.674,222,133,.962,26.6
1941,AL,70,84,6,4.67,156,6067,5521,728,1502,257,80,52,671,79,36,470,488,.272,.331,.376,.707,187,169,.970,27.1
1940,AL,64,90,7,4.32,154,5912,5365,665,1453,266,67,52,602,94,40,468,504,.271,.331,.374,.706,194,166,.968,26.8
1939,AL,65,87,6,4.59,153,6027,5334,702,1483,249,79,44,647,94,47,547,460,.278,.346,.379,.725,205,167,.966,26.5
