Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1967,AL,62,99,10,3.31,161,5938,5349,533,1244,212,50,69,481,132,59,452,1019,.233,.296,.330,.625,132,120,.978,24.8
1966,AL,74,86,7,3.53,160,5873,5328,564,1259,212,56,70,509,132,50,421,982,.236,.294,.337,.631,139,154,.977,25.5
1965,AL,59,103,10,3.61,162,6058,5393,585,1294,186,59,110,546,110,51,521,1020,.240,.309,.358,.667,139,142,.977,25.9
1964,AL,57,105,10,3.81,163,6192,5524,621,1321,216,29,166,594,34,20,548,1104,.239,.311,.379,.690,158,152,.975,26.5
1963,AL,73,89,8,3.80,162,6172,5495,615,1356,225,38,95,582,47,26,529,829,.247,.313,.353,.667,127,131,.980,28.2
1962,AL,72,90,9,4.60,162,6301,5576,745,1467,220,58,116,691,76,21,556,803,.263,.332,.386,.718,132,131,.979,27.2
1961,AL,61,100,9,4.22,162,6164,5423,683,1342,216,47,90,631,58,22,580,772,.247,.320,.354,.675,175,160,.972,27.3
1960,AL,58,96,8,3.97,155,5858,5226,615,1303,212,34,110,566,16,11,513,744,.249,.316,.366,.682,127,149,.979,28.3
1959,AL,66,88,7,4.42,154,5885,5264,681,1383,231,43,117,637,34,24,481,780,.263,.326,.390,.716,160,156,.973,28.6
1958,AL,73,81,7,4.12,156,5845,5261,642,1297,196,50,138,605,22,36,452,747,.247,.307,.381,.688,125,166,.979,28.4
1957,AL,59,94,7,3.66,154,5655,5170,563,1262,195,40,166,536,35,27,364,760,.244,.295,.394,.689,125,162,.979,28.8
1956,AL,52,102,8,4.02,154,5860,5256,619,1325,204,41,112,584,40,30,480,727,.252,.315,.370,.685,166,187,.973,28.7
1955,AL,63,91,6,4.12,155,5917,5335,638,1395,189,46,121,592,22,36,463,725,.261,.322,.382,.704,146,174,.976,28.7
1954,AL,51,103,8,3.47,156,5824,5206,542,1228,191,41,94,503,30,29,504,677,.236,.305,.342,.648,169,163,.972,28.4
1953,AL,59,95,7,4.03,157,6028,5455,632,1398,205,38,116,588,41,24,498,602,.256,.321,.372,.693,137,161,.977,30.2
1952,AL,79,75,4,4.28,155,5975,5163,664,1305,212,35,89,632,52,43,683,561,.253,.343,.359,.702,140,148,.977,31.0
1951,AL,70,84,6,4.78,154,6049,5277,736,1381,262,43,102,685,47,36,677,565,.262,.349,.386,.735,136,204,.978,31.0
1950,AL,52,102,8,4.35,154,5994,5212,670,1361,204,53,100,627,42,25,685,493,.261,.349,.378,.728,155,208,.974,31.2
1949,AL,81,73,5,4.71,154,6049,5123,726,1331,214,49,82,680,36,25,783,493,.260,.361,.369,.729,140,217,.977,30.6
1948,AL,84,70,4,4.73,154,6049,5181,729,1345,231,47,68,684,40,32,726,523,.260,.353,.362,.715,113,180,.981,30.0
1947,AL,78,76,5,4.06,156,5973,5198,633,1311,218,52,61,581,37,33,605,563,.252,.333,.349,.682,143,161,.976,29.8
1946,AL,49,105,8,3.41,155,5796,5200,529,1317,220,51,40,483,39,30,482,594,.253,.318,.338,.656,167,141,.971,29.9
1945,AL,52,98,8,3.23,153,5862,5296,494,1297,201,37,33,439,25,45,449,463,.245,.306,.316,.622,168,160,.973,29.0
1944,AL,72,82,5,3.39,155,5873,5312,525,1364,169,47,36,475,42,32,422,490,.257,.314,.327,.640,176,127,.971,29.0
1943,AL,49,105,8,3.21,155,5798,5244,497,1219,174,44,26,462,55,42,430,465,.232,.294,.297,.592,162,148,.973,29.1
1942,AL,55,99,8,3.56,154,5822,5285,549,1315,213,46,33,517,44,45,440,490,.249,.309,.325,.635,188,124,.969,28.7
1941,AL,64,90,8,4.63,154,5994,5336,713,1431,240,69,85,659,27,36,574,588,.268,.340,.387,.727,200,150,.967,27.0
1940,AL,54,100,8,4.56,154,5948,5304,703,1391,242,53,105,648,48,33,556,656,.262,.334,.387,.722,238,131,.960,26.9
1939,AL,55,97,7,4.65,153,5965,5309,711,1438,282,55,98,667,60,34,503,532,.271,.336,.400,.736,210,131,.965,26.5
1938,AL,53,99,8,4.71,154,5934,5229,726,1410,243,62,98,686,65,53,605,590,.270,.348,.396,.744,206,119,.965,26.6
1937,AL,54,97,7,4.54,154,5888,5228,699,1398,278,60,94,649,95,48,583,557,.267,.341,.397,.739,198,150,.967,27.0
1936,AL,53,100,8,4.64,154,5992,5373,714,1443,240,60,72,663,59,43,524,590,.269,.336,.376,.711,209,152,.965,25.7
1935,AL,58,91,8,4.77,149,5849,5269,710,1470,243,44,112,674,43,35,475,602,.279,.341,.406,.746,190,150,.968,27.1
1934,AL,68,82,5,4.99,153,5919,5317,764,1491,236,50,144,708,57,35,491,584,.280,.343,.425,.768,196,166,.967,27.0
1933,AL,79,72,3,5.76,152,6050,5330,875,1519,297,57,139,831,34,34,625,618,.285,.362,.440,.802,203,121,.966,27.3
1932,AL,94,60,2,6.37,154,6301,5537,981,1606,303,52,172,923,38,23,647,630,.290,.366,.457,.823,124,142,.979,29.0
1931,AL,107,45,1,5.61,153,6020,5377,858,1544,311,64,118,798,25,23,528,543,.287,.355,.435,.789,141,151,.976,28.9
1930,AL,102,52,1,6.18,154,6161,5345,951,1573,319,74,125,895,48,33,599,531,.294,.369,.452,.821,145,121,.975,28.7
1929,AL,104,46,1,5.97,151,5988,5204,901,1539,288,76,122,845,63,39,543,440,.296,.365,.451,.816,146,117,.975,28.7
1928,AL,98,55,2,5.42,153,6010,5226,829,1540,323,75,89,760,59,55,533,442,.295,.363,.436,.800,181,124,.970,29.5
1927,AL,91,63,2,5.43,155,6105,5296,841,1606,281,70,56,767,101,63,551,326,.303,.372,.414,.787,190,124,.970,30.4
1926,AL,83,67,3,4.51,150,5823,5046,677,1359,259,65,61,621,56,45,523,452,.269,.341,.383,.724,171,131,.972,27.5
1925,AL,88,64,2,5.43,153,6069,5399,831,1659,298,79,76,767,67,60,453,432,.307,.364,.434,.798,211,148,.966,27.0
1924,AL,71,81,5,4.51,152,5772,5184,685,1459,251,59,63,608,77,68,374,484,.281,.334,.389,.723,180,157,.971,26.4
1923,AL,69,83,6,4.32,153,5870,5196,661,1407,229,64,53,577,72,62,445,517,.271,.333,.370,.703,221,127,.965,25.7
1922,AL,65,89,7,4.55,155,5865,5211,705,1409,229,63,111,631,60,69,437,591,.270,.331,.402,.734,215,118,.966,26.8
1921,AL,53,100,8,4.24,155,6083,5465,657,1497,256,64,82,609,69,56,424,565,.274,.331,.389,.720,274,144,.958,24.9
1920,AL,48,106,8,3.58,156,5843,5256,558,1324,220,49,44,465,50,67,353,593,.252,.305,.338,.642,266,125,.960,24.7
1919,AL,36,104,8,3.26,140,5241,4730,457,1156,175,71,35,396,103,,349,565,.244,.300,.334,.634,257,96,.956,25.4
1918,AL,52,76,8,3.17,130,4783,4278,412,1039,124,44,22,356,83,,343,485,.243,.303,.308,.611,228,136,.959,25.5
1917,AL,55,98,8,3.44,154,5802,5109,529,1296,177,62,17,457,112,,435,519,.254,.316,.323,.639,251,106,.961,25.4
1916,AL,36,117,8,2.90,154,5608,5010,447,1212,169,65,19,380,151,,406,631,.242,.303,.313,.616,314,126,.951,25.9
1915,AL,43,109,8,3.54,154,5711,5081,545,1204,183,72,16,440,127,89,436,634,.237,.304,.311,.615,338,118,.947,26.2
1914,AL,99,53,1,4.74,158,5946,5126,749,1392,165,80,29,627,231,188,545,517,.272,.348,.352,.699,213,116,.967,25.7
1913,AL,96,57,1,5.19,153,5826,5044,794,1412,223,80,33,660,221,,534,547,.280,.356,.375,.732,212,108,.966,25.4
1912,AL,90,62,3,5.09,153,5835,5111,779,1442,204,108,22,620,258,168,485,556,.282,.349,.377,.726,263,115,.959,25.8
1911,AL,101,50,1,5.66,152,5920,5199,861,1540,237,93,35,692,226,,424,523,.296,.357,.398,.754,225,100,.964,26.8
1910,AL,102,48,1,4.35,155,5809,5154,674,1373,191,105,19,541,207,,409,573,.266,.326,.355,.681,230,117,.965,27.6
1909,AL,95,58,2,3.95,153,5620,4906,605,1257,186,88,21,498,201,,403,578,.256,.321,.343,.664,245,92,.961,27.5
1908,AL,68,85,6,3.10,157,5656,5065,486,1131,183,50,21,392,116,,368,595,.223,.281,.292,.572,272,68,.957,29.1
1907,AL,88,57,2,3.89,150,5597,5010,584,1276,220,44,22,485,137,,384,561,.255,.311,.329,.641,263,67,.958,30.4
1906,AL,78,67,4,3.77,149,5475,4883,561,1206,213,49,32,489,165,,383,666,.247,.307,.330,.638,267,86,.956,28.7
1905,AL,92,56,1,4.10,152,5721,5146,623,1310,256,51,24,511,190,,376,641,.255,.310,.338,.648,265,64,.957,29.7
1904,AL,81,70,5,3.59,155,5578,5088,557,1266,197,77,31,486,137,,313,600,.249,.298,.336,.634,250,67,.959,30.7
1903,AL,75,60,2,4.36,137,5074,4673,597,1236,227,68,32,502,157,,268,511,.264,.309,.363,.672,217,66,.960,29.9
1902,AL,83,53,1,5.66,137,5261,4762,775,1369,235,67,38,673,201,,343,288,.287,.340,.389,.729,270,75,.953,29.1
1901,AL,74,62,4,5.88,137,5320,4882,805,1409,239,87,35,665,173,,301,344,.289,.337,.395,.731,337,93,.942,27.6
