Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1981,AL East,59,49,5,4.81,108,4281,3820,519,1052,168,17,90,492,32,31,378,520,.275,.340,.399,.739,91,108,.979,29.2
1980,AL East,83,77,5,4.73,160,6200,5603,757,1588,297,36,162,717,79,48,475,720,.283,.340,.436,.776,149,206,.977,29.6
1979,AL East,91,69,3,5.26,160,6184,5538,841,1567,310,34,194,805,60,43,512,708,.283,.344,.456,.800,142,166,.977,29.0
1978,AL East,99,64,2,4.88,163,6316,5587,796,1493,270,46,172,738,74,51,582,835,.267,.336,.424,.760,146,171,.977,28.5
1977,AL East,97,64,2,5.34,161,6184,5510,859,1551,258,56,213,828,66,47,528,905,.281,.345,.465,.810,133,162,.979,28.7
1976,AL East,83,79,3,4.42,162,6154,5511,716,1448,257,53,134,664,95,70,500,832,.263,.324,.402,.726,141,148,.978,27.7
1975,AL East,95,65,1,4.98,160,6175,5448,796,1500,284,44,134,756,66,58,565,741,.275,.344,.417,.761,139,142,.978,26.9
1974,AL East,84,78,3,4.30,162,6214,5499,696,1449,236,31,109,658,104,58,569,811,.264,.333,.377,.711,145,156,.977,27.7
1973,AL East,89,73,2,4.56,162,6223,5513,738,1472,235,30,147,692,114,45,581,799,.267,.338,.401,.738,127,162,.979,29.5
1972,AL East,85,70,2,4.13,155,5872,5208,640,1289,229,34,124,594,66,30,522,858,.248,.318,.376,.694,130,141,.978,28.9
1971,AL East,85,77,3,4.27,162,6107,5401,691,1360,246,28,161,650,51,34,552,871,.252,.322,.397,.719,116,149,.981,27.9
1970,AL East,87,75,3,4.85,162,6251,5535,786,1450,252,28,203,743,50,48,594,855,.262,.335,.428,.763,156,131,.974,26.5
1969,AL East,87,75,3,4.59,162,6294,5494,743,1381,234,37,197,701,41,47,658,923,.251,.333,.415,.748,157,178,.975,26.1
1968,AL,86,76,4,3.79,162,6037,5303,614,1253,207,17,125,558,76,62,582,974,.236,.313,.352,.666,128,147,.979,26.4
1967,AL,92,70,1,4.46,162,6149,5471,722,1394,216,39,158,666,68,59,522,1020,.255,.321,.395,.716,142,142,.977,25.4
1966,AL,72,90,9,4.04,162,6175,5498,655,1318,228,44,145,617,35,24,542,1020,.240,.310,.376,.686,155,153,.975,25.3
1965,AL,62,100,9,4.13,162,6220,5487,669,1378,244,40,165,629,47,24,607,964,.251,.327,.400,.727,162,129,.974,26.7
1964,AL,72,90,8,4.25,162,6106,5513,688,1425,253,29,186,648,18,16,504,917,.258,.322,.416,.738,138,123,.977,27.5
1963,AL,76,85,7,4.14,161,6146,5575,666,1403,247,34,171,623,27,16,475,954,.252,.312,.400,.712,135,119,.978,27.9
1962,AL,76,84,8,4.42,160,6177,5530,707,1429,257,53,146,671,39,33,525,923,.258,.324,.403,.727,131,152,.979,27.7
1961,AL,76,86,6,4.47,163,6307,5508,729,1401,251,37,112,682,56,36,647,847,.254,.334,.374,.708,144,170,.977,27.5
1960,AL,65,89,7,4.27,154,5932,5215,658,1359,234,32,124,623,34,28,570,798,.261,.333,.389,.722,141,156,.976,29.1
1959,AL,75,79,5,4.71,154,5985,5225,726,1335,248,28,125,678,68,25,626,810,.256,.335,.385,.721,131,167,.978,29.1
1958,AL,79,75,3,4.50,155,5972,5218,697,1335,229,30,155,667,29,22,638,820,.256,.338,.400,.739,145,172,.976,28.9
1957,AL,82,72,3,4.68,154,5995,5267,721,1380,231,32,153,695,29,21,624,739,.262,.341,.405,.746,149,179,.976,29.0
1956,AL,84,70,4,5.03,155,6215,5349,780,1473,261,45,139,752,28,19,727,687,.275,.362,.419,.781,169,168,.972,28.3
1955,AL,84,70,4,4.90,154,6133,5273,755,1392,241,39,137,709,43,17,707,733,.264,.351,.402,.753,136,140,.977,27.7
1954,AL,69,85,4,4.49,156,6207,5399,700,1436,244,41,123,657,51,30,654,660,.266,.345,.395,.739,176,163,.972,27.0
1953,AL,84,69,4,4.29,153,5880,5246,656,1385,255,37,101,614,33,45,496,601,.264,.332,.384,.716,148,173,.975,26.6
1952,AL,76,78,6,4.34,154,5886,5246,668,1338,233,34,113,628,59,47,542,739,.255,.328,.377,.705,145,181,.976,27.8
1951,AL,87,67,3,5.22,154,6213,5378,804,1428,233,32,127,757,20,21,756,594,.266,.358,.392,.750,141,184,.977,30.1
1950,AL,94,60,3,6.67,154,6322,5516,1027,1665,287,61,161,974,32,17,719,582,.302,.385,.464,.848,111,181,.981,29.9
1949,AL,96,58,2,5.78,155,6253,5320,896,1500,272,36,131,835,43,25,835,510,.282,.381,.420,.802,120,207,.980,29.8
1948,AL,96,59,2,5.85,155,6284,5363,907,1471,277,40,121,854,38,17,823,552,.274,.374,.409,.783,116,174,.981,29.5
1947,AL,83,71,3,4.59,157,6099,5322,720,1412,206,54,103,674,41,35,666,590,.265,.349,.382,.731,137,172,.977,29.2
1946,AL,104,50,1,5.08,156,6126,5318,792,1441,268,50,109,737,45,36,687,661,.271,.356,.402,.758,139,163,.977,29.3
1945,AL,71,83,7,3.82,157,6019,5367,599,1393,225,44,50,559,72,50,541,534,.260,.330,.346,.676,169,198,.973,30.3
1944,AL,77,77,4,4.74,156,6052,5400,739,1456,277,56,69,691,60,40,522,505,.270,.336,.380,.716,171,154,.972,30.2
1943,AL,68,84,7,3.63,155,6011,5392,563,1314,223,42,57,511,86,61,486,591,.244,.308,.332,.641,153,179,.976,28.4
1942,AL,93,59,2,5.01,152,5984,5248,761,1451,244,55,103,702,68,61,591,508,.276,.352,.403,.755,157,156,.974,26.7
1941,AL,84,70,2,5.58,155,6177,5359,865,1517,304,55,124,806,67,51,683,567,.283,.366,.430,.796,172,139,.972,28.2
1940,AL,82,72,4,5.66,154,6174,5481,872,1566,301,80,145,808,55,49,590,597,.286,.356,.449,.806,173,156,.972,28.1
1939,AL,89,62,2,5.86,152,6054,5308,890,1543,287,57,124,832,42,44,591,505,.291,.363,.436,.800,180,147,.970,27.7
1938,AL,88,61,2,6.01,150,6003,5229,902,1566,298,56,98,860,55,51,650,463,.299,.378,.434,.812,190,172,.968,28.5
1937,AL,80,72,5,5.33,154,6086,5354,821,1506,269,64,100,769,79,61,601,557,.281,.357,.411,.768,177,139,.970,28.6
1936,AL,74,80,6,5.00,155,6098,5383,775,1485,288,62,86,718,55,44,584,465,.276,.349,.400,.750,165,139,.972,29.1
1935,AL,78,75,4,4.66,154,6059,5288,718,1458,281,63,69,660,91,59,609,470,.276,.353,.392,.745,194,136,.969,28.6
1934,AL,76,76,4,5.36,153,6046,5339,820,1465,287,70,51,756,116,47,610,535,.274,.350,.383,.733,188,141,.969,29.0
1933,AL,63,86,7,4.70,149,5861,5201,700,1407,294,56,50,642,58,37,525,464,.271,.339,.377,.717,204,133,.966,28.4
1932,AL,43,111,8,3.68,154,5859,5295,566,1331,253,57,53,529,46,46,469,539,.251,.314,.351,.664,233,165,.963,28.4
1931,AL,62,90,6,4.08,153,5864,5379,625,1409,289,34,37,572,42,43,405,565,.262,.315,.349,.664,188,127,.970,28.6
1930,AL,52,102,8,3.97,154,5808,5286,612,1393,257,68,47,533,42,35,358,552,.264,.313,.365,.677,196,161,.968,28.6
1929,AL,58,96,8,3.90,155,5781,5160,605,1377,285,69,28,561,86,82,413,494,.267,.325,.365,.690,218,159,.965,28.2
1928,AL,57,96,8,3.82,154,5758,5132,589,1356,260,62,38,544,97,68,395,512,.264,.319,.361,.681,178,139,.971,28.2
1927,AL,51,103,8,3.88,154,5867,5207,597,1348,271,78,28,550,81,46,430,456,.259,.320,.357,.677,228,167,.964,27.5
1926,AL,46,107,8,3.65,154,5857,5185,562,1325,249,54,32,525,52,48,465,454,.256,.321,.343,.664,193,143,.970,28.4
1925,AL,47,105,8,4.20,152,5845,5166,639,1375,257,64,41,591,42,56,513,422,.266,.336,.364,.701,271,150,.957,27.8
1924,AL,67,87,7,4.68,157,6186,5340,735,1481,302,63,30,668,78,61,603,417,.277,.356,.374,.730,210,126,.967,30.1
1923,AL,61,91,8,3.79,154,5777,5181,584,1354,253,54,34,525,79,91,391,480,.261,.318,.351,.669,232,126,.963,29.2
1922,AL,61,93,8,3.88,154,5866,5288,598,1392,250,55,45,510,64,67,366,455,.263,.316,.357,.673,224,145,.965,29.4
1921,AL,75,79,5,4.34,154,5853,5206,668,1440,248,69,17,587,83,65,428,344,.277,.335,.361,.696,157,151,.975,29.5
1920,AL,72,81,5,4.22,154,5989,5199,650,1397,216,71,22,569,98,111,533,429,.269,.342,.350,.692,183,131,.972,28.1
1919,AL,66,71,6,4.09,138,5286,4548,564,1188,181,49,33,495,108,,471,411,.261,.336,.344,.681,140,118,.975,27.4
1918,AL,75,51,1,3.76,126,4609,3982,474,990,159,54,15,385,110,,407,324,.249,.322,.327,.649,152,89,.971,28.5
1917,AL,90,62,2,3.54,157,5858,5048,555,1243,198,64,14,478,105,,466,473,.246,.314,.319,.633,183,116,.972,27.9
1916,AL,91,63,1,3.53,156,5777,5018,550,1246,197,56,14,455,129,,464,482,.248,.317,.318,.635,183,108,.972,27.0
1915,AL,101,50,1,4.32,155,5868,5024,669,1308,202,76,14,574,118,117,527,476,.260,.336,.339,.676,226,95,.965,26.7
1914,AL,91,62,2,3.70,159,5815,5117,589,1278,226,85,18,512,177,176,490,549,.250,.320,.338,.658,242,99,.963,25.4
1913,AL,79,71,4,4.18,151,5681,4969,631,1334,220,101,17,531,189,,467,534,.268,.336,.364,.700,238,84,.961,26.1
1912,AL,105,47,1,5.19,154,5872,5071,799,1404,269,84,29,654,185,182,565,586,.277,.355,.380,.735,267,88,.957,26.1
1911,AL,78,75,5,4.44,153,5807,5014,680,1379,203,66,35,559,190,,506,634,.275,.350,.363,.713,323,93,.949,24.9
1910,AL,81,72,4,4.06,158,5917,5204,641,1350,175,87,43,527,194,,430,719,.259,.323,.351,.674,309,80,.954,25.5
1909,AL,88,63,3,3.95,152,5575,4980,601,1309,151,70,20,474,215,,348,592,.263,.321,.333,.654,292,95,.955,25.9
1908,AL,75,79,5,3.64,155,5580,5048,564,1239,117,88,14,444,156,,289,588,.245,.295,.312,.607,297,71,.955,27.3
1907,AL,59,90,7,3.01,155,5721,5235,466,1224,154,48,18,405,125,,305,596,.234,.281,.292,.572,278,100,.959,29.1
1906,AL,49,105,8,2.99,155,5645,5168,463,1223,160,75,13,408,99,,298,616,.237,.284,.304,.588,335,84,.949,29.1
1905,AL,78,74,4,3.78,153,5711,5049,579,1179,165,69,29,488,131,,486,553,.234,.305,.311,.616,296,75,.953,31.6
1904,AL,95,59,1,3.87,157,5784,5231,608,1294,194,105,26,522,101,,347,573,.247,.301,.340,.640,242,83,.963,31.2
1903,AL,91,47,1,5.02,141,5365,4919,708,1336,222,113,48,609,141,,261,559,.272,.313,.392,.705,239,86,.959,29.6
1902,AL,77,60,3,4.81,138,5292,4875,664,1356,195,95,42,572,132,,275,371,.278,.322,.383,.705,263,101,.955,28.6
1901,AL,79,57,2,5.50,138,5349,4866,759,1353,183,104,37,632,157,,331,281,.278,.330,.381,.711,337,104,.943,28.0
